Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
GaussianNB,0.60932944606414,0.6137941596896059,0.6137941596896059,0.6021472094041022,0.03226208686828613
SVC,0.6064139941690962,0.6113436798039615,0.6113436798039615,0.5974816327893291,0.8716762065887451
XGBClassifier,0.6034985422740525,0.6062725478183921,0.6062725478183921,0.6008511367076104,1.3073217868804932
NuSVC,0.6005830903790087,0.6040092573684569,0.6040092573684568,0.5963750646243229,0.521831750869751
RandomForestClassifier,0.597667638483965,0.6024947246613573,0.6024947246613573,0.5888988919346291,1.467332124710083
BernoulliNB,0.597667638483965,0.6015587774828126,0.6015587774828126,0.5921038792758909,0.038849830627441406
ExtraTreesClassifier,0.5889212827988338,0.5936457695187529,0.5936457695187529,0.580324059534146,0.3639030456542969
NearestCentroid,0.5860058309037901,0.5883874480974747,0.5883874480974747,0.5839938887069342,0.02958393096923828
BaggingClassifier,0.5714285714285714,0.5725784493907835,0.5725784493907835,0.5710568923989209,4.131388187408447
LGBMClassifier,0.5597667638483965,0.5646484242052958,0.5646484242052958,0.5497757522310274,1.220776081085205
AdaBoostClassifier,0.5510204081632653,0.5537403852698931,0.5537403852698931,0.5480226106836177,2.9425039291381836
KNeighborsClassifier,0.5422740524781341,0.5420835885916547,0.5420835885916547,0.542367477853314,0.05745100975036621
LinearSVC,0.5335276967930029,0.534732148934722,0.534732148934722,0.5330279050395669,10.44530701637268
PassiveAggressiveClassifier,0.5335276967930029,0.534544959499013,0.5345449594990129,0.5332104334432056,0.30562829971313477
LogisticRegression,0.5306122448979592,0.5315329113062419,0.5315329113062418,0.5303728285326014,0.04294300079345703
SGDClassifier,0.5247813411078717,0.5266319515349533,0.5266319515349535,0.5233652297219364,0.11528611183166504
ExtraTreeClassifier,0.5189504373177842,0.5209822340208291,0.5209822340208291,0.517180200497201,0.02902698516845703
Perceptron,0.5189504373177842,0.5200462868422844,0.5200462868422844,0.5185332465702173,0.09628105163574219
QuadraticDiscriminantAnalysis,0.5189504373177842,0.5172384453066503,0.5172384453066503,0.5176684383636544,0.3353438377380371
RidgeClassifierCV,0.5043731778425656,0.5055476141855557,0.5055476141855557,0.5038421491045397,0.2848813533782959
CalibratedClassifierCV,0.4868804664723032,0.5028248587570622,0.5028248587570621,0.32209024204466985,30.91547966003418
LabelSpreading,0.5160349854227405,0.5,0.5,0.3513007400762503,0.05290794372558594
LabelPropagation,0.5160349854227405,0.5,0.5,0.3513007400762503,0.05255889892578125
DummyClassifier,0.4839650145772595,0.5,0.5,0.3156706971309433,0.024997711181640625
DecisionTreeClassifier,0.49854227405247814,0.49933632836430464,0.4993363283643046,0.4983632429024458,0.6005048751831055
LinearDiscriminantAnalysis,0.4897959183673469,0.4904873732217004,0.49048737322170044,0.4896831612920573,0.2045888900756836
RidgeClassifier,0.4897959183673469,0.4904873732217004,0.49048737322170044,0.4896831612920573,0.056678056716918945
